                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 2.0759,                  1.542,                 1.3099,                0.73285,                0.42937,                0.47815,                0.21628,                 2.0417,                  1.589,                  1.272,             0.00047427,             0.00047427,             0.00047427
                     89,                   1.97,                 1.4667,                 1.2536,                0.59002,                 0.3433,                0.39614,                0.19214,                 2.0126,                 1.7215,                 1.2795,             0.00047015,             0.00047015,             0.00047015
                     90,                 2.1448,                 1.5864,                 1.3348,                0.70837,                0.36038,                0.43861,                0.22105,                 1.8653,                 1.5855,                 1.2439,             0.00046602,             0.00046602,             0.00046602
                     91,                 1.9542,                 1.4862,                 1.3118,                0.58569,                0.53166,                0.55149,                0.28743,                 1.7735,                 1.3142,                 1.2139,              0.0004619,              0.0004619,              0.0004619
                     92,                 1.9884,                 1.4221,                 1.2229,                 0.6412,                0.55745,                0.57821,                0.29278,                  1.792,                   1.29,                 1.2158,             0.00045778,             0.00045778,             0.00045778
                     93,                  1.888,                 1.4006,                 1.2462,                 0.6923,                0.58384,                0.58605,                 0.2959,                 1.7736,                 1.2879,                 1.2115,             0.00045365,             0.00045365,             0.00045365
                     94,                 1.9305,                 1.3612,                  1.244,                0.61686,                0.54431,                0.56259,                0.28871,                 1.7849,                 1.3711,                 1.2255,             0.00044953,             0.00044953,             0.00044953
                     95,                  1.943,                 1.4097,                 1.2372,                0.55462,                0.46881,                0.50571,                0.24398,                 1.8706,                 1.5488,                 1.2679,             0.00044541,             0.00044541,             0.00044541
                     96,                 1.9908,                 1.4956,                 1.2423,                0.70355,                0.36859,                0.44656,                0.21206,                 1.9571,                 1.6546,                 1.2957,             0.00044128,             0.00044128,             0.00044128
                     97,                 2.0166,                 1.5236,                 1.2887,                0.62964,                0.39532,                0.41122,                0.19802,                 1.9892,                 1.6798,                  1.309,             0.00043716,             0.00043716,             0.00043716
                     98,                  1.956,                  1.377,                 1.2239,                0.49605,                0.43025,                0.41045,                0.19041,                 2.0525,                 1.6647,                 1.3324,             0.00043304,             0.00043304,             0.00043304
                     99,                 1.8527,                 1.3292,                 1.2103,                0.58082,                 0.4549,                 0.4641,                0.19848,                 2.1172,                 1.5419,                 1.3365,             0.00042891,             0.00042891,             0.00042891
                    100,                 1.8851,                  1.315,                 1.1941,                 0.6376,                0.56688,                0.55405,                0.25585,                 1.9474,                 1.3659,                 1.2787,             0.00042479,             0.00042479,             0.00042479
                    101,                   2.08,                 1.4007,                 1.2543,                0.61742,                0.57868,                  0.549,                0.26553,                 1.8778,                 1.3347,                 1.2589,             0.00042066,             0.00042066,             0.00042066
                    102,                 2.0268,                  1.425,                  1.342,                0.62244,                0.61634,                0.57537,                0.27823,                 1.7927,                 1.2963,                 1.2293,             0.00041654,             0.00041654,             0.00041654
                    103,                 1.9216,                 1.3577,                 1.2129,                0.70169,                0.60162,                0.61208,                 0.3138,                 1.7516,                  1.249,                 1.2056,             0.00041242,             0.00041242,             0.00041242
                    104,                 1.9328,                 1.3232,                 1.2063,                0.53545,                0.61534,                0.60641,                0.29518,                 1.7894,                 1.3137,                 1.2254,             0.00040829,             0.00040829,             0.00040829
                    105,                 1.9056,                  1.376,                 1.2188,                0.48924,                 0.5787,                0.55938,                0.28751,                 1.7617,                 1.4003,                 1.2374,             0.00040417,             0.00040417,             0.00040417
